Date,Envelope,Account,Name,Notes,Amount
6/4/2025,Shopping & Fun,My Account,Amazon,,-42
6/4/2025,Shopping & Fun,My Account,Amazon,,-165
6/4/2025,Groceries ,My Account,Amazon,,-30
6/4/2025,Shopping & Fun,My Account,Amazon,,-42
6/4/2025,Shopping & Fun,My Account,Mattress Zipper,,-57
6/3/2025,Groceries ,My Account,Costco,,-227
6/3/2025,Vehicle,My Account,Gas,,-19
6/3/2025,Shopping & Fun,My Account,Enviro-One,,-70
6/2/2025,Shopping & Fun,My Account,Freedom Flowers,,-31
6/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
6/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
6/1/2025,Shopping & Fun,My Account,Amazon,,-21
6/1/2025,"Rent, Mortgage & Utilities ",My Account,YouTube Premium,,-10
6/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
6/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
5/29/2025,Vehicle,My Account,Gas,,-36
5/28/2025,Vehicle,My Account,Gas,,-36
5/26/2025,Groceries ,My Account,Trader Joes,,-79
5/26/2025,Shopping & Fun,My Account,Kohl's,,-35
5/26/2025,Groceries ,My Account,Food Maxx,,-25
5/23/2025,Groceries ,My Account,Costco,,-149
5/23/2025,Groceries ,My Account,Save Mart,,-15
5/21/2025,Shopping & Fun,My Account,Tim Fletcher 12 Needs,,-300
5/14/2025,Groceries ,My Account,Costco,,-215
5/14/2025,Vehicle,My Account,Gas,,-32
5/10/2025,Groceries ,My Account,Sprouts,,-30
5/9/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-14
5/9/2025,Shopping & Fun,My Account,Hokeman’s,,-92
5/6/2025,Groceries ,My Account,Costco,,-154
5/5/2025,Groceries ,My Account,Azure,,-95
5/5/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-60
5/5/2025,Shopping & Fun,My Account,Amazon,,-146
5/4/2025,Shopping & Fun,My Account,Amazon,,-10
5/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
5/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
5/1/2025,"Rent, Mortgage & Utilities ",My Account,YouTube Premium,,-10
5/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
5/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
4/29/2025,Groceries ,My Account,Costco,,-187
4/29/2025,Vehicle,My Account,Gas,,-21
4/26/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-107
4/24/2025,Vehicle,My Account,Gas,,-27
4/24/2025,Trips and Eating out,My Account,Food,,-3
4/23/2025,Groceries ,My Account,Costco,,-59
4/23/2025,Vehicle,My Account,Gas,,-23
4/21/2025,Groceries ,My Account,Costco,,-297
4/21/2025,Vehicle,My Account,Gas,,-37
4/19/2025,Trips and Eating out,My Account,Modo Tea,,-11
4/19/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-35
4/19/2025,Vehicle,My Account,Gas,,-8
4/17/2025,Vehicle,My Account,Geico Insurance,,-146
4/17/2025,Groceries ,My Account,Food Maxx,,-28
4/13/2025,Groceries ,My Account,Costco,,-131
4/12/2025,Groceries ,My Account,Grocery,,-13
4/6/2025,Shopping & Fun,My Account,Amazon,,-4
4/5/2025,Groceries ,My Account,Trader Joes,,-106
4/3/2025,Vehicle,My Account,Gas ,,-33
4/3/2025,Groceries ,My Account,Costco,,-239
4/2/2025,Shopping & Fun,My Account,Amazon,,-128
4/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
4/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
4/1/2025,Shopping & Fun,My Account,Shepherd’s Dream,,-393
4/1/2025,"Rent, Mortgage & Utilities ",My Account,YouTube Premium,,-10
4/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
4/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
3/31/2025,Groceries ,My Account,Holiday Market,,-13
3/31/2025,Shopping & Fun,My Account,Amazon,,-10
